source,target,value
17099,13993,10.0
17099,4362,10.0
17099,4110,10.0
17099,56697,10.0
17101,56697,10.0
17101,13292,10.0
17103,16179,10.0
17103,4110,10.0
17105,5585,10.0
17105,4362,10.0
17105,4110,10.0
17105,56697,10.0
17107,56697,10.0
17107,4362,10.0
17107,12395,10.0
17107,40307,10.0
17109,12070,10.0
17109,2634,10.0
17109,17838,10.0
17109,29296,10.0
17109,40307,10.0
17109,56697,10.0
17111,16196,10.0
17111,4110,10.0
17113,5585,10.0
17113,4362,10.0
17113,56697,10.0
17115,17040,10.0
17115,56697,10.0
17115,4362,10.0
17115,12395,10.0
17117,17697,10.0
17117,16420,10.0
17117,40307,10.0
17117,56697,10.0
17117,8824,10.0
17117,9209,10.0
17119,8824,10.0
17119,17697,10.0
17119,8573,10.0
17119,3806,10.0
17119,56697,10.0
17121,17697,10.0
17121,18955,10.0
17121,3726,10.0
17121,20222,10.0
17121,56697,10.0
17121,3806,10.0
17123,56697,10.0
17123,4362,10.0
17123,4110,10.0
17125,56697,10.0
17125,12395,10.0
17125,40307,10.0
17127,12388,10.0
17127,17631,10.0
17127,5748,10.0
17127,56697,10.0
17127,17585,10.0
17129,56697,10.0
17129,12395,10.0
17129,40307,10.0
17131,56697,10.0
17131,12341,10.0
17133,56697,10.0
17133,12803,10.0
17133,20180,10.0
17133,5535,10.0
17135,17697,10.0
17135,16420,10.0
17135,17040,10.0
17135,40307,10.0
17135,8824,10.0
17135,56697,10.0
17137,9209,10.0
17137,12395,10.0
17137,16420,10.0
17137,56697,10.0
17137,40307,10.0
17139,17040,10.0
17139,18277,10.0
17139,1648,10.0
17139,5585,10.0
17139,56697,10.0
17139,3931,10.0
17141,16179,10.0
17141,4110,10.0
17143,56697,10.0
17143,17838,10.0
17145,56697,10.0
17145,18955,10.0
17145,5535,10.0
17147,5585,10.0
17147,4362,10.0
17147,3931,10.0
17147,56697,10.0
17149,9209,10.0
17149,40307,10.0
17149,56697,10.0
17151,17585,10.0
17151,17631,10.0
17153,2776,10.0
17153,56697,10.0
17153,17631,10.0
17155,56697,10.0
17155,4362,10.0
17157,56697,10.0
17157,12803,10.0
17157,15772,10.0
17157,5535,10.0
17159,56697,10.0
17159,13292,10.0
17159,20222,10.0
17159,3726,10.0
17161,12341,10.0
17163,17697,10.0
17163,12803,10.0
17163,18955,10.0
17163,6764,10.0
17163,11790,10.0
17163,56697,10.0
17163,8573,10.0
17163,3806,10.0
17163,5535,10.0
17165,17585,10.0
17165,56697,10.0
17167,16420,10.0
17167,12395,10.0
17167,3405,10.0
17167,17040,10.0
17167,40307,10.0
17167,56697,10.0
17167,17828,10.0
17167,16092,10.0
17169,97,10.0
17169,40307,10.0
17169,17838,10.0
17169,12070,10.0
17169,56697,10.0
17171,9209,10.0
17171,40307,10.0
17171,56697,10.0
54037,15263,10.0
17173,17040,10.0
17173,17697,10.0
17173,3931,10.0
17173,56697,10.0
17175,56697,10.0
17175,4362,10.0
17177,16740,10.0
17177,16196,10.0
17177,4110,10.0
17179,56697,10.0
17179,4362,10.0
17179,12395,10.0
17181,56697,10.0
17181,17631,10.0
17183,5585,10.0
17183,5531,10.0
17183,56697,10.0
17183,20111,10.0
17185,13032,10.0
17185,56697,10.0
17185,13292,10.0
17185,20222,10.0
17185,366,10.0
17187,56697,10.0
17187,12070,10.0
17189,56697,10.0
17189,18955,10.0
17189,3806,10.0
17189,5535,10.0
17191,20222,10.0
17191,18955,10.0
17191,6141,10.0
17191,3726,10.0
17191,56697,10.0
17193,3040,10.0
17193,17585,10.0
17193,20222,10.0
17193,56697,10.0
17195,229,10.0
17195,16198,10.0
17195,4110,10.0
17195,12341,10.0
17195,9750,10.0
17195,6199,10.0
17197,13208,10.0
17197,4110,10.0
9007,4176,10.0
17201,16196,10.0
17201,4110,10.0
9011,49826,10.0
9011,7716,10.0
9011,9734,10.0
9011,13831,10.0
9011,2089,10.0
9011,4176,10.0
9013,4176,10.0
9015,4176,10.0
48233,13757,10.0
48233,17718,10.0
48233,16063,10.0
50001,7601,10.0
50001,3292,10.0
50001,19791,10.0
50003,7601,10.0
50003,3292,10.0
50005,8104,10.0
50005,19791,10.0
50005,7601,10.0
50005,20151,10.0
50005,3292,10.0
50005,11359,10.0
50007,3292,10.0
50007,19791,10.0
50007,2548,10.0
50007,7601,10.0
50009,7601,10.0
50009,19791,10.0
50009,3292,10.0
50009,11359,10.0
50011,7601,10.0
50011,5915,10.0
50011,3292,10.0
50011,18371,10.0
50011,19791,10.0
50013,19791,10.0
50015,8104,10.0
50015,9806,10.0
50015,19791,10.0
50015,7601,10.0
50015,27316,10.0
50015,9144,10.0
50015,3292,10.0
50015,12989,10.0
50017,7601,10.0
50017,3292,10.0
50017,20151,10.0
50019,8104,10.0
50019,19791,10.0
50019,1299,10.0
50019,14261,10.0
50019,20151,10.0
50019,11359,10.0
50021,7601,10.0
50021,3292,10.0
50023,8104,10.0
50023,7601,10.0
50023,3292,10.0
50023,13789,10.0
50023,20151,10.0
50025,7601,10.0
50025,9610,10.0
50025,3292,10.0
50027,7601,10.0
50027,3292,10.0
50027,11305,10.0
48039,40051,10.0
48039,8901,10.0
48039,9590,10.0
54071,12796,10.0
42039,40223,10.0
42039,14716,10.0
42039,40293,10.0
42039,14711,10.0
39039,13704,10.0
39039,14599,10.0
39039,18997,10.0
39039,14006,10.0
39039,2439,10.0
22127,30856,10.0
22127,11241,10.0
22007,11241,10.0
22007,17565,10.0
