index,consumption
1124,204663
1125,204017
1126,203824
1127,203419
1128,202866
1129,202148
1130,201791
1131,201687
1132,201413
1133,201008
1134,200819
1135,200816
1136,200723
1137,199688
1138,199503
1139,198000
1140,197921
1141,197747
1142,197535
1143,197468
1144,197406
1145,197111
1146,196999
1147,196996
1148,196643
1149,196278
1150,195931
1151,195930
1152,195740
1153,195272
1154,195166
1155,194866
1156,194798
1157,193957
1158,193660
1159,193622
1160,193592
1161,192642
1162,192556
1163,192494
1164,191950
1165,191879
1166,191523
1167,190853
1168,190851
1169,190577
1170,189734
1171,189576
1172,189371
1173,189281
1174,189044
1175,188759
1176,188281
1177,187925
1178,187743
1179,187698
1180,187005
1181,186803
1182,186716
1183,186478
1184,186394
1185,185669
1186,185228
1187,184963
1188,184644
1189,184134
1190,184068
1191,183222
1192,182858
1193,182687
1194,182466
1195,182387
1196,182305
1197,181943
1198,181301
1199,181162
1200,181038
1201,180443
1202,180323
1203,180314
1204,180026
1205,179994
1206,179888
1207,179424
1208,179274
1209,179174
1210,178866
1211,178802
1212,178476
1213,178170
1214,178084
1215,177580
1216,177468
1217,176576
1218,176542
1219,176462
1220,176039
1221,175967
1222,175508
1223,175029
1224,174485
1225,174091
1226,173678
1227,173586
1228,173503
1229,173485
1230,173316
1231,172998
1232,172762
1233,172190
1234,172148
1235,171954
1236,171575
1237,171153
1238,171079
1239,171046
1240,169624
1241,169350
1242,169141
1243,168806
1244,168684
1245,168449
1246,166944
1247,166873
1248,166869
1249,166396
1250,165638
1251,165514
1252,165479
1253,165473
1254,165403
1255,165016
1256,164836
1257,164759
1258,164383
1259,163407
1260,163386
1261,163314
1262,162969
1263,162913
1264,162652
1265,161504
1266,161144
1267,160649
1268,160573
1269,160557
1270,160050
1271,159807
1272,159180
1273,159105
1274,158593
1275,158523
1276,158234
1277,158093
1278,158055
1279,158031
1280,157914
1281,157805
1282,157795
1283,157756
1284,157003
1285,156613
1286,156591
1287,156294
1288,155664
1289,155463
1290,155028
1291,154336
1292,154331
1293,153974
1294,153442
1295,152796
1296,152786
1297,152071
1298,152058
1299,151973
1300,151908
1301,151227
1302,150835
1303,150485
1304,150081
1305,149285
1306,148820
1307,148738
1308,148669
1309,148636
1310,148330
1311,148287
1312,148135
1313,147939
1314,147812
1315,147401
1316,147257
1317,147255
1318,147253
1319,147036
1320,146781
1321,146412
1322,146256
1323,145827
1324,145792
1325,145764
1326,145522
1327,145469
1328,145431
1329,145369
1330,145322
1331,144595
1332,144586
1333,144566
1334,144463
1335,144321
1336,143667
1337,143559
1338,143517
1339,143191
1340,142981
1341,142686
1342,142158
1343,142122
1344,141752
1345,140919
1346,139992
1347,139405
1348,139293
1349,139215
1350,139103
1351,137316
1352,137298
1353,137157
1354,136674
1355,136618
1356,136542
1357,136434
1358,136008
1359,135986
1360,135637
1361,135619
1362,135434
1363,134870
1364,134863
1365,134656
1366,134256
1367,134082
1368,133991
1369,133832
1370,133599
1371,133439
1372,133434
1373,133222
1374,132321
1375,132226
1376,131385
1377,131151
1378,131070
1379,131055
1380,130655
1381,129849
1382,129823
1383,129685
1384,128763
1385,128385
1386,128216
1387,128019
1388,127902
1389,127792
1390,127763
1391,127726
1392,127510
1393,127331
1394,127247
1395,127232
1396,126793
1397,126111
1398,126102
1399,125951
1400,125844
1401,125508
1402,124861
1403,124638
1404,124608
1405,124450
1406,124360
1407,123926
1408,123738
1409,123674
1410,123595
1411,123546
1412,123491
1413,123390
1414,123192
1415,123157
1416,123028
1417,122930
1418,122700
1419,122441
1420,121925
1421,121822
1422,121782
1423,121666
1424,121235
1425,120784
1426,120566
1427,120433
1428,120350
1429,120189
1430,120127
1431,119940
1432,119848
1433,119737
1434,119635
1435,119526
1436,119309
1437,119305
1438,119117
1439,118868
1440,118316
1441,118230
1442,117967
1443,117883
1444,117798
1445,117237
1446,117027
1447,116829
1448,116777
1449,116341
1450,116251
1451,116170
1452,116168
1453,116037
1454,115953
1455,115295
1456,115047
1457,114147
1458,114125
1459,113766
1460,113502
1461,113249
1462,113249
1463,112718
1464,112629
1465,112430
1466,112153
1467,112114
1468,111483
1469,111437
1470,111401
1471,111281
1472,111089
1473,110924
1474,110811
1475,110799
1476,110731
1477,110649
1478,110253
1479,110079
1480,109848
1481,109832
1482,109294
1483,109027
1484,109012
1485,108950
1486,108930
1487,108896
1488,108792
1489,108447
1490,108401
1491,108300
1492,107913
1493,107743
1494,107734
1495,107565
1496,107494
1497,107307
1498,107070
1499,106933
1500,106913
1501,106514
1502,106437
1503,106163
1504,106150
1505,106144
1506,106054
1507,105613
1508,105409
1509,105209
1510,105168
1511,105163
1512,105138
1513,105027
1514,105009
1515,104884
1516,104660
1517,104631
1518,104365
1519,104127
1520,103781
1521,103762
1522,103735
1523,103608
1524,103393
1525,103318
1526,103053
1527,102945
1528,102749
1529,102745
1530,102694
1531,102680
1532,102338
1533,102267
1534,102242
1535,102237
1536,101345
1537,101043
1538,100461
1539,100178
1540,100151
1541,99925
1542,99761
1543,99758
1544,99720
1545,99716
1546,99707
1547,99702
1548,99459
1549,99284
1550,99225
1551,99087
1552,99027
1553,99000
1554,98847
1555,98844
1556,98837
1557,98520
1558,98475
1559,98391
1560,98071
1561,98030
1562,97921
1563,97534
1564,97449
1565,97402
1566,97290
1567,97059
1568,96948
1569,96278
1570,96135
1571,96099
1572,95913
1573,95562
1574,95524
1575,95251
1576,94923
1577,94651
1578,94029
1579,93250
1580,93078
1581,92962
1582,92821
1583,92812
1584,92784
1585,92629
1586,92569
1587,92323
1588,92225
1589,92153
1590,91945
1591,91840
1592,91728
1593,91290
1594,90823
1595,90810
1596,90690
1597,90664
1598,90608
1599,90452
1600,90244
1601,90202
1602,89728
1603,89442
1604,89336
1605,89241
1606,89034
1607,88741
1608,88229
1609,88023
1610,87361
1611,87258
1612,87201
1613,86236
1614,85841
1615,85290
1616,85000
1617,84984
1618,84690
1619,84424
1620,84295
1621,84274
1622,84207
1623,83972
1624,83274
1625,83175
1626,82862
1627,82390
1628,81920
1629,81815
1630,81455
1631,81025
1632,80705
1633,80385
1634,80258
1635,80238
1636,79353
1637,79196
1638,79040
1639,78980
1640,78801
1641,78404
1642,78228
1643,78082
1644,77995
1645,77340
1646,77262
1647,76902
1648,76808
1649,76771
1650,74751
1651,74109
1652,73956
1653,73624
1654,73552
1655,73455
1656,73074
1657,72810
1658,72646
1659,72497
1660,72321
1661,71598
1662,70803
1663,70737
1664,70549
1665,70532
1666,70042
1667,69990
1668,69564
1669,69353
1670,69319
1671,69103
1672,69094
1673,69079
1674,68992
1675,68705
1676,68292
1677,68117
1678,67900
1679,67872
1680,67571
1681,67277
1682,67167
1683,66928
1684,66768
1685,66691
1686,66548
1687,66180
1688,65933
1689,65839
1690,65824
1691,65506
1692,65387
1693,65250
1694,64838
1695,64788
1696,64709
1697,64645
1698,64493
1699,64482
1700,63938
1701,63853
1702,63849
1703,63834
1704,63804
1705,63802
1706,63766
1707,62960
1708,62640
1709,62028
1710,62000
1711,61856
1712,61783
1713,61751
1714,61604
1715,61584
1716,61493
1717,60909
1718,60815
1719,60163
1720,60033
1721,59519
1722,59439
1723,59365
1724,59223
1725,58955
1726,58738
1727,58400
1728,58204
1729,57688
1730,57284
